Namespace(batch_size=36, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', lr=0.001, momentum=0.9, no_cuda=False, num_points=1024, seed=1029, test_batch_size=2, use_sgd=True)
Using GPU : 0 in 1 devices
Train 66, loss: 1.726944, train acc: 0.835979, train avg acc: 0.750291
Test 66, loss: 1.879475, test acc: 0.858995, test avg acc: 0.803308
Train 67, loss: 1.720933, train acc: 0.835267, train avg acc: 0.748977
Test 67, loss: 1.739675, test acc: 0.843193, test avg acc: 0.767215
Train 68, loss: 1.729942, train acc: 0.831604, train avg acc: 0.746536
Test 68, loss: 1.887109, test acc: 0.810778, test avg acc: 0.736645
Train 69, loss: 1.710967, train acc: 0.840354, train avg acc: 0.754771
Test 69, loss: 1.888415, test acc: 0.875203, test avg acc: 0.808430
Train 70, loss: 1.723380, train acc: 0.834147, train avg acc: 0.749946
Test 70, loss: 1.668051, test acc: 0.872771, test avg acc: 0.828390
Train 71, loss: 1.723719, train acc: 0.836284, train avg acc: 0.754352
Test 71, loss: 1.672771, test acc: 0.869935, test avg acc: 0.808669
Train 72, loss: 1.716253, train acc: 0.840863, train avg acc: 0.759025
Test 72, loss: 1.744066, test acc: 0.868314, test avg acc: 0.795267
Train 73, loss: 1.712702, train acc: 0.837302, train avg acc: 0.754575
Test 73, loss: 1.816958, test acc: 0.876418, test avg acc: 0.806180
Train 74, loss: 1.713677, train acc: 0.836691, train avg acc: 0.753798
Test 74, loss: 1.771936, test acc: 0.876013, test avg acc: 0.808099
Train 75, loss: 1.702542, train acc: 0.843203, train avg acc: 0.761990
Test 75, loss: 1.802535, test acc: 0.875203, test avg acc: 0.802453
Train 76, loss: 1.692634, train acc: 0.847680, train avg acc: 0.764084
Test 76, loss: 1.892851, test acc: 0.871151, test avg acc: 0.799314
Train 77, loss: 1.700616, train acc: 0.842593, train avg acc: 0.760148
Test 77, loss: 1.799953, test acc: 0.878444, test avg acc: 0.805878
Train 78, loss: 1.696049, train acc: 0.850326, train avg acc: 0.771503
Test 78, loss: 1.709987, test acc: 0.849271, test avg acc: 0.788837
Train 79, loss: 1.696773, train acc: 0.847477, train avg acc: 0.769679
Test 79, loss: 1.714023, test acc: 0.886548, test avg acc: 0.821233
Train 80, loss: 1.689536, train acc: 0.850020, train avg acc: 0.772372
Test 80, loss: 1.661291, test acc: 0.872771, test avg acc: 0.791262
Train 81, loss: 1.696517, train acc: 0.852666, train avg acc: 0.780481
Test 81, loss: 1.697352, test acc: 0.858185, test avg acc: 0.797459
Train 82, loss: 1.695040, train acc: 0.848392, train avg acc: 0.769649
Test 82, loss: 1.722105, test acc: 0.885737, test avg acc: 0.823436
